kingdom,phylum,class,order,family,genus,species,scientificName,Latitude,Longitude,eventDate,day,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.739135,-121.555356,1992-07-15T08:04:30,15.0,7.0,1992,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_16472
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.525384,-118.070261,1999-04-07T14:11:00,7.0,4.0,1999,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_31426
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.518658,-119.271775,1992-07-08T13:32:48,8.0,7.0,1992,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_16028
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.387206,-120.018183,1997-07-06T14:47:00,6.0,7.0,1997,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_26493
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.217611,-120.989803,1997-07-13T12:28:36,13.0,7.0,1997,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_26890
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.756405,-118.144622,2021-01-23T05:34:32,23.0,1.0,2021,HUMAN_OBSERVATION,iNaturalist,Observations,68529560
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",58.99,-141.5,2004-01-01T00:00:00,,,2004,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,525954
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.88,-137.16,1998-01-01T00:00:00,,,1998,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,218798
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.88,-136.83,1995-01-01T00:00:00,,,1995,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,108348
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",59.56,-143.5,1997-01-01T00:00:00,,,1997,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,182449
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.7,-136.83,1999-01-01T00:00:00,,,1999,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,294918
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.7,-136.5,2000-01-01T00:00:00,,,2000,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,337565
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",56.810001,-173.160004,1997-01-01T00:00:00,,,1997,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,178384
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.52,-136.5,1999-01-01T00:00:00,,,1999,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,294619
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",59.56,-142.83,1995-01-01T00:00:00,,,1995,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,110527
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",59.56,-145.16,1996-01-01T00:00:00,,,1996,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,147015
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.16,-152.5,2001-01-01T00:00:00,,,2001,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,349848
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.7,-136.5,1999-01-01T00:00:00,,,1999,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,294941
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",57.16,-136.16,1997-01-01T00:00:00,,,1997,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,179556
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",59.56,-142.83,1996-01-01T00:00:00,,,1996,HUMAN_OBSERVATION,AFSC,N. Pacific Groundfish Observer,147105
